Timestamp,Differance,Node ID,Message
1651527928377, ,136,ff07071808010000
1651527928377, ,552,10e500c400293a40
1651527928377, ,616,eb38000004021802
1651527928377, ,680,c000000822e80000
1651527928377, ,744,9800000461293a40
1651527928377, ,104,fc0010311d438000
1651527928377, ,872,fdc0000800000000
1651527928377, ,989,cc60062713003a1c
1651527928377, ,72,fe00308f3a6b2406
1651527928377, ,40,7e80140000800000
1651527928377, ,136,ff08071818010000
1651527928377, ,264,df64631200000000
1651527928377, ,360,b88a00656c008431
1651527928377, ,472,d0000000bec5f3be
1651527928377, ,904,f74ec88c00293a40
1651527928377, ,776,f000005c8005101c
1651527928380, ,424,002834852c7c0000
1651527928385, ,520,c0020820830838b2
1651527928394, ,956,0386508638000000
1651527928403, ,296,c000000000003f3f
1651527928406, ,136,ff09071828010000
1651527928409, ,552,10a500c400293a40
1651527928419, ,488,2000000000000000
1651527928421, ,456,80010f483f012015
1651527928432, ,584,0080ea42be4bdf00
1651527928435, ,616,eb38000004021802
1651527928437, ,712,cb00000000007f7f
1651527928444, ,104,fc0010311d438000
1651527928446, ,136,ff0b071848010000
1651527928450, ,952,8000000000000000
1651527928454, ,1096,0000ff0000000000
1651527928460, ,40,7e80140000800000
1651527928466, ,264,df64631000000000
1651527928469, ,360,980a00656c008431
1651527928472, ,392,3964645d293a4000
1651527928474, ,424,002834852c7b0000
1651527928477, ,472,50000000bec5f3bf
1651527928482, ,840,7850078742380000
1651527928485, ,904,d74ec88c00293a40
1651527928488, ,968,c038272000000000
1651527928491, ,1285,0802000305000000
1651527928493, ,72,fe00308f3a6b2406
1651527928495, ,776,f000005c8005101c
1651527928497, ,808,e0000000005d0000
1651527928500, ,136,ff0c071858010000
1651527928503, ,552,10a500c400293a40
1651527928508, ,872,fdc0000800000000
1651527928513, ,520,c0020820830838b2
1651527928515, ,744,9800000461293a40
1651527928518, ,1024,2200000000000000
1651527928521, ,1025,024330363232424e
1651527928524, ,1026,2200000000000000
1651527928526, ,1028,023a360031041f6c
1651527928528, ,1029,023a360031041f6c
1651527928538, ,488,2000000000000000
1651527928540, ,136,ff0d071868010000
1651527928544, ,616,eb38000004021802
1651527928546, ,680,c000000822e80000
1651527928548, ,956,0386508638000000
1651527928555, ,104,fc0010311d438000
1651527928559, ,424,002834852c7b0000
1651527928562, ,584,0080ea42be4bdf00
1651527928565, ,712,cb00000000007f7f
1651527928567, ,989,cc60062713003a1c
1651527928569, ,456,80010f483f012015
1651527928572, ,40,7e80140000800000
1651527928575, ,264,df64630f00000000
1651527928577, ,296,c000000000003f3f
1651527928580, ,360,b88a00656c008431
1651527928582, ,472,90000000bec5f3bf
1651527928585, ,136,ff0f071888010000
1651527928587, ,552,10a500c400293a40
1651527928589, ,904,f74ec88c00293a40
1651527928591, ,1160,8007000000000000
1651527928596, ,776,f000005c8005101b
1651527928610, ,72,ff80308f3a6b2406
1651527928616, ,136,ff10071898010000
1651527928620, ,520,c0020820830838b2
1651527928631, ,488,2000000000000000
1651527928636, ,424,002834842c7a0000
1651527928640, ,616,eb38000004021802
1651527928642, ,648,f000000000910091
1651527928645, ,952,8000000000000000
1651527928648, ,1096,0000ff0000000000
1651527928654, ,104,fc0010311d438000
1651527928657, ,872,fdc0000800000000
1651527928660, ,136,ff110718a8010000
1651527928664, ,552,10a500c400293a40
1651527928666, ,40,7e80140000800000
1651527928673, ,264,df64631100000000
1651527928677, ,360,980a00656c008431
1651527928681, ,392,3964645d293a4000
1651527928685, ,472,50000000bec5f3c0
